,offense,defense,scoring,elapsed,plays,start_yards_to_goal,yards,drive_result,off_points_gained
0,Michigan,Utah,0,1.5333333333333332,3,71,2,PUNT,0
1,Michigan,Utah,1,2.1333333333333333,4,26,26,PASSING TD,6
2,Utah,Michigan,1,3.7,8,75,75,RUSHING TD,6
3,Michigan,Utah,1,2.3333333333333335,6,50,17,FG GOOD,3
4,Utah,Michigan,1,6.233333333333333,14,77,66,FG GOOD,3
5,Michigan,Utah,0,2.15,3,80,9,PUNT,0
6,Utah,Michigan,1,2.1166666666666667,7,73,47,FG GOOD,3
7,Michigan,Utah,0,3.2,6,80,19,PUNT,0
8,Utah,Michigan,1,3.35,8,82,58,FG GOOD,3
9,Michigan,Utah,0,0.6166666666666667,4,76,30,PUNT,0
10,Utah,Michigan,0,1.0666666666666667,3,89,-3,PUNT,0
11,Michigan,Utah,0,0.7166666666666667,3,60,-4,INT,0
12,Utah,Michigan,1,0.6333333333333333,5,37,37,PASSING TD,6
13,Michigan,Utah,0,0.21666666666666667,1,74,-11,END OF HALF,0
14,Utah,Michigan,0,1.6333333333333333,4,63,14,PUNT,0
15,Michigan,Utah,0,0.5333333333333333,2,89,-2,FUMBLE,0
16,Utah,Michigan,0,1.8666666666666667,3,9,-4,INT,0
17,Michigan,Utah,0,1.0166666666666666,3,80,0,PUNT,0
18,Utah,Michigan,1,2.3333333333333335,4,40,4,FG GOOD,3
19,Michigan,Utah,0,1.6833333333333333,3,80,-16,PUNT,0
20,Utah,Michigan,0,3.066666666666667,6,44,8,PUNT,0
21,Michigan,Utah,0,2.1666666666666665,6,80,45,FUMBLE,0
22,Utah,Michigan,0,1.6333333333333333,3,65,-9,PUNT,0
23,Michigan,Utah,0,2.85,7,85,27,PUNT,0
24,Utah,Michigan,0,2.3833333333333333,3,74,2,PUNT,0
25,Michigan,Utah,1,0.13333333333333333,1,33,33,PASSING TD,6
26,Utah,Michigan,0,1.0333333333333334,3,67,-2,FUMBLE,0
27,Michigan,Utah,1,1.2333333333333334,4,31,31,RUSHING TD,6
28,Utah,Michigan,0,1.1333333333333333,3,75,1,PUNT,0
29,Michigan,Utah,0,0.7333333333333333,3,73,-1,PUNT,0
30,Utah,Michigan,0,1.9833333333333334,3,70,9,PUNT,0
31,Michigan,Utah,0,0.7833333333333333,4,89,3,TURNOVER ON DOWNS,0
32,Utah,Michigan,0,1.7333333333333334,4,14,-20,TURNOVER ON DOWNS,0
33,Michigan,Utah,0,0.06666666666666667,1,66,2,END OF GAME,0
34,UNLV,Utah,1,5.183333333333334,11,80,80,RUSHING TD,6
35,Utah,UNLV,0,1.5,4,84,17,PUNT,0
36,UNLV,Utah,0,2.183333333333333,3,77,4,PUNT,0
37,Utah,UNLV,0,1.3,4,65,20,INT,0
38,UNLV,Utah,0,1.9333333333333333,3,67,9,PUNT,0
39,Utah,UNLV,0,1.3333333333333333,3,50,0,PUNT,0
40,UNLV,Utah,0,3.65,6,87,13,PUNT,0
41,Utah,UNLV,0,2.3666666666666667,3,89,-1,PUNT,0
42,UNLV,Utah,0,0.45,3,60,-5,PUNT,0
43,Utah,UNLV,1,1.9666666666666668,4,69,69,RUSHING TD,6
44,UNLV,Utah,1,3.1166666666666667,9,80,80,RUSHING TD,6
45,Utah,UNLV,1,4.166666666666667,9,80,80,RUSHING TD,6
46,UNLV,Utah,0,0.4,3,80,-10,PUNT,0
47,Utah,UNLV,0,0.45,3,61,0,PUNT,0
48,UNLV,Utah,0,0.0,0,95,0,END OF HALF,0
49,Utah,UNLV,1,2.8166666666666664,5,51,51,PASSING TD,6
